id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,color,quantity_to_sell_on_facebook
470336100,"Dark Bluish Gray Technic, Pin 3L with Friction Ridges and Stop Bush",PART 32054,In Stock,Used,1.10 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336100"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/85/32054.png,Lego,3287,47,Dark Bluish Gray,3
470336142,"White Hose, Soft Axle 19L",PART 32235,In Stock,Used,1.45 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336142"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/32235.png,Lego,3287,47,White,2
470336159,Trans-Clear Slope 33 3 x 2,PART 3298,In Stock,Used,1.39 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336159"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/12/3298.png,Lego,3287,47,Trans-Clear,1
470336308,Reddish Brown Hinge Brick 1 x 2 Top Plate,PART 3938,In Stock,Used,4.02 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336308"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/88/3938.png,Lego,3287,47,Reddish Brown,1
470336383,Black Brick 8 x 16,PART 4204,In Stock,Used,3.89 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336383"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/4204.png,Lego,3287,47,Black,1
470336809,"White Technic, Axle  2L with Reverser Handle Axle Connector",PART 6553,In Stock,Used,1.56 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336809"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/6553.png,Lego,3287,47,White,4
470336940,"Tan Torso Western Indians Triangles, Red/White Amulet Pattern / Tan Arms / Yellow Hands",PART 973px103c01,In Stock,Used,2.79 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336940"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/2/973px103c01.png,Lego,3287,47,Tan,1
470336969,Trans-Brown Windscreen 8 x 6 x 3 Wedge with Imperial Shuttle Pattern,PART 551ps1,In Stock,Used,1.59 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336969"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/13/551ps1.png,Lego,3287,47,Trans-Brown,1
470336970,"Yellow Minifigure, Head Beard with Brown Eyebrows, Moustache and Beard, Black Chin Dimple Pattern",PART 3626ps9,In Stock,Used,1.17 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470336970"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/3/3626ps9.png,Lego,3287,47,Yellow,1
470337043,"Orange Technic, Liftarm Thick 1 x 11",PART 32525,In Stock,Used,1.39 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337043"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/4/32525.png,Lego,3287,47,Orange,2
470337160,"White Technic, Axle Connector 2L (Ridged with x Hole x Orientation)",PART 6538b,In Stock,Used,1.10 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337160"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/6538b.png,Lego,3287,47,White,1
470337246,Reddish Brown Wedge 4 x 2 Triple Left,PART 43710,In Stock,Used,1.06 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337246"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/88/43710.png,Lego,3287,47,Reddish Brown,1
470337334,Light Gray Dish 8 x 8 Inverted (Radar) with Mini Millennium Falcon Pattern,PART 3961px1,In Stock,Used,2.69 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337334"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/9/3961px1.png,Lego,3287,47,Light Gray,1
470510288,"Red Wedge, Plate 12 x 3 Right",PART 47398,In Stock,New,1.42 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470510288"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/5/47398.png,Lego,3287,47,Red,1
